// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 0770102F
//  ProductCode: MTi-G-710-2A8G0
//  Firmware Version: 1.4.2
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: General(1.18)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid Acc_X Acc_Y Acc_Z Gyr_X Gyr_Y Gyr_Z
29352 275400000 2022 2 2 14 36 33 55 0.073484 0.044393 9.455212 -0.000914 -0.002509 -0.003847
29353 285400000 2022 2 2 14 36 33 55 0.076848 0.020120 9.480659 -0.001036 -0.001358 -0.003815
29354 295400000 2022 2 2 14 36 33 55 0.082504 0.015327 9.478411 -0.002043 0.001297 -0.005008
29355 305400000 2022 2 2 14 36 33 55 0.077404 0.038053 9.474640 0.000030 -0.001362 -0.003135
29356 315400000 2022 2 2 14 36 33 55 0.063963 0.021723 9.458456 0.000964 0.001414 -0.002215
29357 325400000 2022 2 2 14 36 33 55 0.071740 0.013185 9.476395 -0.000749 0.000456 -0.004712
29358 335400000 2022 2 2 14 36 33 55 0.062243 0.043392 9.468428 0.001251 -0.000104 -0.006494
29359 345400000 2022 2 2 14 36 33 55 0.077647 0.025547 9.480688 -0.000219 -0.001117 -0.003421
29360 355400000 2022 2 2 14 36 33 55 0.074641 0.033287 9.480693 -0.001423 -0.000384 -0.002249
29361 365400000 2022 2 2 14 36 33 55 0.075396 0.026675 9.478765 -0.000897 -0.000877 -0.001033
29362 375400000 2022 2 2 14 36 33 55 0.072831 0.039645 9.472693 -0.000263 0.000273 -0.003356
29363 385400000 2022 2 2 14 36 33 55 0.071642 0.033839 9.473053 -0.000467 -0.000779 -0.001070
29364 395400000 2022 2 2 14 36 33 55 0.051348 0.019277 9.479654 0.001777 -0.002692 -0.004376
29365 405400000 2022 2 2 14 36 33 55 0.082634 0.016215 9.481845 0.000917 -0.002966 -0.004196
